,unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri,source_file_x,combined_address_x,ADDRESS_V1,fuzzy_match,match_confidence,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,CONSTRUCTION_AGE_BAND,LODGEMENT_DATETIME,TENURE,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,UPRN,UPRN_SOURCE,REPORT_TYPE,source_file_y,combined_address_y,_merge
23755,A71375FD-A820-7576-E053-6C04A8C0462F,223000,2020-03-12,HP9 2YX,T,N,F,nan,20,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/A71375FD-A820-7576-E053-6C04A8C0462F/current,./data-land_registry/HP9-march2020-to-nov2025.csv,20 farmers way nan hp9 2yx,20 FARMERS WAY HP9 2YX,20 farmers way seer green hp9 2yx,81.35593220338984,1755390479062019100309483486528641,"20, Farmers Way",Seer Green,,HP9 2YX,4887796678.0,D,B,67.0,89.0,Bungalow,End-Terrace,2019-10-02,E07000005,E14000631,Buckinghamshire,2019-10-03,marketed sale,66.0,90.0,286.0,65.0,2.1,50.0,0.5,46.0,35.0,351.0,287.0,113.0,68.0,42.0,Unknown,Y,NODATA!,,,2106.0,100.0,"double glazing, unknown install date",Normal,0.0,3.0,3.0,70.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,,,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 70% of fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"20, Farmers Way, Seer Green",Chiltern,Chesham and Amersham,BEACONSFIELD,England and Wales: 1976-1982,2019-10-03 09:48:34,owner-occupied,,,100080505402.0,Address Matched,100.0,data-epc/domestic-E07000005-Chiltern/certificates.csv,20 farmers way seer green hp9 2yx,both
23756,06C9F487-2A5C-9388-E063-4804A8C0BD98,206000,2020-08-04,HP9 2YX,T,N,F,nan,22,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/06C9F487-2A5C-9388-E063-4804A8C0BD98/current,./data-land_registry/HP9-march2020-to-nov2025.csv,22 farmers way nan hp9 2yx,22 FARMERS WAY HP9 2YX,22 farmers way seer green hp9 2yx,81.35593220338984,1697800089442019021417401065219848,"22, Farmers Way",Seer Green,,HP9 2YX,2489182678.0,D,B,64.0,83.0,Bungalow,Mid-Terrace,2019-02-14,E07000005,E14000631,Buckinghamshire,2019-02-14,marketed sale,62.0,80.0,286.0,130.0,2.7,50.0,1.3,85.0,42.0,432.0,418.0,118.0,70.0,54.0,Single,Y,NODATA!,,,2104.0,100.0,double glazing installed during or after 2002,Normal,0.0,2.0,2.0,0.0,0.0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Good,Good,"Cavity wall, as built, partial insulation (assumed)",Average,Average,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,No low energy lighting,Very Poor,Very Poor,mains gas (not community),0.0,NO DATA!,,,,N,natural,"22, Farmers Way, Seer Green",Chiltern,Chesham and Amersham,BEACONSFIELD,England and Wales: 1976-1982,2019-02-14 17:40:10,owner-occupied,,,100080505403.0,Address Matched,100.0,data-epc/domestic-E07000005-Chiltern/certificates.csv,22 farmers way seer green hp9 2yx,both
23757,237B17FD-ABF4-22AC-E063-4804A8C0EA3A,377000,2024-01-05,HP9 2YX,T,N,F,nan,26,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FD-ABF4-22AC-E063-4804A8C0EA3A/current,./data-land_registry/HP9-march2020-to-nov2025.csv,26 farmers way nan hp9 2yx,26 FARMERS WAY HP9 2YX,26 farmers way seer green hp9 2yx,81.35593220338984,1124403029922014041411392442198144,"26, Farmers Way",Seer Green,,HP9 2YX,4437212278.0,D,A,68.0,92.0,Bungalow,Mid-Terrace,2014-04-11,E07000005,E14000631,Buckinghamshire,2014-04-14,marketed sale,71.0,96.0,228.0,13.0,1.8,43.0,0.2,55.0,27.0,300.0,266.0,125.0,68.0,40.0,Unknown,Y,NODATA!,,,2106.0,100.0,double glazing installed during or after 2002,Less Than Typical,0.0,2.0,2.0,0.0,1.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas (not community),0.0,NO DATA!,,,0.0,,natural,"26, Farmers Way, Seer Green",Chiltern,Chesham and Amersham,BEACONSFIELD,England and Wales: 1983-1990,2014-04-14 11:39:24,owner-occupied,6.0,0.0,100080505405.0,Address Matched,100.0,data-epc/domestic-E07000005-Chiltern/certificates.csv,26 farmers way seer green hp9 2yx,both
23758,34222872-0005-4D2B-E063-4704A8C07853,362000,2025-03-10,HP9 2YX,T,N,F,nan,28,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/34222872-0005-4D2B-E063-4704A8C07853/current,./data-land_registry/HP9-march2020-to-nov2025.csv,28 farmers way nan hp9 2yx,28 FARMERS WAY HP9 2YX,28 farmers way seer green hp9 2yx,81.35593220338984,148918829402010041906471855109968,"28, Farmers Way",Seer Green,,HP9 2YX,5404521568.0,C,C,72.0,76.0,Bungalow,Mid-Terrace,2010-04-16,E07000005,E14000631,Buckinghamshire,2010-04-19,marketed sale,72.0,75.0,259.0,233.0,1.8,43.0,1.6,43.0,22.0,331.0,314.0,69.0,69.0,42.41,Single,Y,NO DATA!,,,2106.0,100.0,double glazing installed during or after 2002,Normal,0.0,2.0,2.0,0.0,1.0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, partial insulation (assumed)",Average,Average,"Room heaters, electric",,,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.31,0.0,N,natural,"28, Farmers Way, Seer Green",Chiltern,Chesham and Amersham,BEACONSFIELD,England and Wales: 1976-1982,2010-04-19 06:47:18,owner-occupied,,,100080505406.0,Address Matched,100.0,data-epc/domestic-E07000005-Chiltern/certificates.csv,28 farmers way seer green hp9 2yx,both
23759,34222872-0005-4D2B-E063-4704A8C07853,362000,2025-03-10,HP9 2YX,T,N,F,nan,28,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/34222872-0005-4D2B-E063-4704A8C07853/current,./data-land_registry/HP9-march2020-to-nov2025.csv,28 farmers way nan hp9 2yx,28 FARMERS WAY HP9 2YX,28 farmers way seer green hp9 2yx,81.35593220338984,2a761d451742a36f064f22c1c37ef61b0b79a2e258fc3659ca12d254445c01a9,28 Farmers Way,Seer Green,,HP9 2YX,10006154595.0,C,B,69.0,90.0,Bungalow,Mid-Terrace,2024-06-13,E06000060,E14000631,,2024-06-13,marketed sale,70.0,91.0,257.0,53.0,1.8,45.0,0.4,55.0,55.0,576.0,466.0,142.0,97.0,40.0,Unknown,Y,,,,,100.0,"double glazing, unknown install date",Normal,0.0,2.0,2.0,100.0,1.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.38,0.0,N,natural,"28 Farmers Way, Seer Green",Buckinghamshire,Chesham and Amersham,BEACONSFIELD,England and Wales: 1976-1982,2024-06-13 14:16:52,Owner-occupied,5.0,,100080505406.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,28 farmers way seer green hp9 2yx,both
23760,BA558B32-32BC-76EF-E053-6B04A8C0B4B7,219500,2020-12-17,HP9 2YX,T,N,F,nan,30,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/BA558B32-32BC-76EF-E053-6B04A8C0B4B7/current,./data-land_registry/HP9-march2020-to-nov2025.csv,30 farmers way nan hp9 2yx,30 FARMERS WAY HP9 2YX,30 farmers way seer green hp9 2yx,81.35593220338984,1814970723032020080316494476278202,"30, Farmers Way",Seer Green,,HP9 2YX,2256231778.0,C,B,69.0,90.0,Bungalow,End-Terrace,2020-07-28,E06000060,E14000631,Buckinghamshire,2020-08-03,marketed sale,70.0,91.0,265.0,59.0,1.8,47.0,0.4,35.0,35.0,311.0,281.0,111.0,67.0,39.0,Single,Y,NODATA!,,,2106.0,100.0,double glazing installed during or after 2002,Normal,0.0,2.0,2.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,,,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"30, Farmers Way, Seer Green",Buckinghamshire,Chesham and Amersham,BEACONSFIELD,England and Wales: 1991-1995,2020-08-03 16:49:44,owner-occupied,,,100080505407.0,Address Matched,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,30 farmers way seer green hp9 2yx,both
23761,1775CCF6-ED16-38BA-E063-4704A8C05A7C,550000,2024-01-26,HP9 2YX,D,N,F,nan,44,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF6-ED16-38BA-E063-4704A8C05A7C/current,./data-land_registry/HP9-march2020-to-nov2025.csv,44 farmers way nan hp9 2yx,44 FARMERS WAY HP9 2YX,44 farmers way seer green hp9 2yx,81.35593220338984,5227a061ffb743fca1e6c9cfc06b799c792118c6d0ff628c5ac4dd23f92b4989,44 Farmers Way,Seer Green,,HP9 2YX,10004606422.0,D,B,66.0,85.0,House,Detached,2023-06-23,E06000060,E14000631,,2023-06-23,marketed sale,61.0,83.0,242.0,95.0,3.8,43.0,1.5,141.0,141.0,1388.0,969.0,373.0,196.0,90.0,Single,Y,,,,,100.0,"double glazing, unknown install date",Normal,0.0,5.0,5.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.37,0.0,N,natural,"44 Farmers Way, Seer Green",Buckinghamshire,Chesham and Amersham,BEACONSFIELD,England and Wales: 1976-1982,2023-06-23 11:48:12,Owner-occupied,12.0,,100080505414.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,44 farmers way seer green hp9 2yx,both
23762,F5E8B080-EBD5-3A13-E053-6C04A8C060B7,855000,2022-07-15,HP9 2YY,D,N,F,nan,5,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B080-EBD5-3A13-E053-6C04A8C060B7/current,./data-land_registry/HP9-march2020-to-nov2025.csv,5 farmers way nan hp9 2yy,5 FARMERS WAY HP9 2YY,5 farmers way seer green hp9 2yy,80.70175438596492,1486181940632016100710103357078994,"5, Farmers Way",Seer Green,,HP9 2YY,4467967478.0,F,B,26.0,81.0,House,Detached,2016-10-06,E07000005,E14000631,Buckinghamshire,2016-10-07,marketed sale,36.0,79.0,419.0,114.0,8.1,71.0,2.3,95.0,95.0,1958.0,651.0,352.0,80.0,114.0,Single,Y,NODATA!,,,2703.0,100.0,"double glazing, unknown install date",Normal,1.0,7.0,7.0,62.0,0.0,"Electric immersion, standard tariff",Very Poor,Poor,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",,,"Pitched, 100 mm loft insulation",Average,Average,Electric ceiling heating,Very Poor,Very Poor,Room thermostat only,Poor,Poor,Low energy lighting in 62% of fixed outlets,Good,Good,electricity (not community),0.0,NO DATA!,,2.36,,N,natural,"5, Farmers Way, Seer Green",Chiltern,Chesham and Amersham,BEACONSFIELD,England and Wales: 1950-1966,2016-10-07 10:10:33,owner-occupied,,,100080505401.0,Address Matched,100.0,data-epc/domestic-E07000005-Chiltern/certificates.csv,5 farmers way seer green hp9 2yy,both
23763,F5E8B080-EBD5-3A13-E053-6C04A8C060B7,855000,2022-07-15,HP9 2YY,D,N,F,nan,5,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B080-EBD5-3A13-E053-6C04A8C060B7/current,./data-land_registry/HP9-march2020-to-nov2025.csv,5 farmers way nan hp9 2yy,5 FARMERS WAY HP9 2YY,5 farmers way seer green hp9 2yy,80.70175438596492,4db89b466b34650b009057838c24562a0f3d6eea207336fea05583199f0cd99e,5 Farmers Way,Seer Green,,HP9 2YY,10002305557.0,D,B,68.0,83.0,House,Detached,2022-02-11,E06000060,E14000631,,2022-02-12,marketed sale,61.0,78.0,208.0,108.0,5.5,37.0,2.9,102.0,102.0,823.0,637.0,163.0,79.0,149.0,Single,Y,,,,,100.0,"double glazing, unknown install date",Normal,2.0,6.0,6.0,100.0,0.0,"From main system, no cylinder thermostat",Average,Average,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,,,,"Pitched, limited insulation (assumed)",Poor,Poor,"Boiler and underfloor heating, mains gas",Good,Good,Programmer and at least two room thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.25,0.0,N,natural,"5 Farmers Way, Seer Green",Buckinghamshire,Chesham and Amersham,BEACONSFIELD,England and Wales: 1976-1982,2022-02-12 11:26:52,Owner-occupied,32.0,,100080505401.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,5 farmers way seer green hp9 2yy,both
23764,BA558B32-3258-76EF-E053-6B04A8C0B4B7,460000,2020-08-12,HP9 2YY,T,N,F,nan,54,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/BA558B32-3258-76EF-E053-6B04A8C0B4B7/current,./data-land_registry/HP9-march2020-to-nov2025.csv,54 farmers way nan hp9 2yy,54 FARMERS WAY HP9 2YY,54 farmers way seer green hp9 2yy,81.35593220338984,1785547385152020021716071921900863,"54, Farmers Way",Seer Green,,HP9 2YY,8387519678.0,C,B,71.0,88.0,House,Mid-Terrace,2020-02-17,E07000005,E14000631,Buckinghamshire,2020-02-17,marketed sale,69.0,87.0,196.0,74.0,2.9,34.0,1.1,67.0,67.0,508.0,390.0,100.0,69.0,85.0,Single,Y,NODATA!,,,2106.0,100.0,"double glazing, unknown install date",Normal,0.0,4.0,4.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,,,,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"54, Farmers Way, Seer Green",Chiltern,Chesham and Amersham,BEACONSFIELD,England and Wales: 1976-1982,2020-02-17 16:07:19,owner-occupied,,,100080505419.0,Address Matched,100.0,data-epc/domestic-E07000005-Chiltern/certificates.csv,54 farmers way seer green hp9 2yy,both
23765,DE2D0CDF-5B0D-51EE-E053-6C04A8C00671,495000,2021-11-03,HP9 2YY,D,N,F,nan,56,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/DE2D0CDF-5B0D-51EE-E053-6C04A8C00671/current,./data-land_registry/HP9-march2020-to-nov2025.csv,56 farmers way nan hp9 2yy,56 FARMERS WAY HP9 2YY,56 farmers way seer green hp9 2yy,81.35593220338984,1475550439762016083111172086008756,"56, Farmers Way",Seer Green,,HP9 2YY,5880396478.0,D,B,62.0,87.0,House,Mid-Terrace,2016-08-30,E07000005,E14000631,Buckinghamshire,2016-08-31,marketed sale,56.0,86.0,279.0,78.0,4.1,49.0,1.2,65.0,65.0,695.0,413.0,174.0,76.0,83.0,dual,Y,NODATA!,,,2106.0,100.0,"double glazing, unknown install date",Normal,0.0,4.0,4.0,92.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,,,,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 92% of fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,2.36,,N,natural,"56, Farmers Way, Seer Green",Chiltern,Chesham and Amersham,BEACONSFIELD,England and Wales: 1967-1975,2016-08-31 11:17:20,owner-occupied,,,100080505420.0,Address Matched,100.0,data-epc/domestic-E07000005-Chiltern/certificates.csv,56 farmers way seer green hp9 2yy,both
23766,31C68071-C5DD-FEE3-E063-4804A8C04F37,595000,2025-02-28,HP9 2YY,T,N,F,nan,70,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/31C68071-C5DD-FEE3-E063-4804A8C04F37/current,./data-land_registry/HP9-march2020-to-nov2025.csv,70 farmers way nan hp9 2yy,70 FARMERS WAY HP9 2YY,70 farmers way seer green hp9 2yy,81.35593220338984,85796769142013012212050445572128,"70, Farmers Way",Seer Green,,HP9 2YY,189465468.0,D,B,67.0,87.0,House,End-Terrace,2013-01-22,E07000005,E14000631,Buckinghamshire,2013-01-22,marketed sale,65.0,88.0,199.0,60.0,3.1,38.0,1.0,65.0,46.0,519.0,361.0,113.0,78.0,82.0,Single,N,NODATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,0.0,4.0,4.0,60.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,,,,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 60% of fixed outlets,Good,Good,mains gas (not community),0.0,NO DATA!,,,0.0,,natural,"70, Farmers Way, Seer Green",Chiltern,Chesham and Amersham,BEACONSFIELD,England and Wales: 1967-1975,2013-01-22 12:05:04,owner-occupied,10.0,6.0,100080505427.0,Address Matched,100.0,data-epc/domestic-E07000005-Chiltern/certificates.csv,70 farmers way seer green hp9 2yy,both
23767,31C68071-C5DD-FEE3-E063-4804A8C04F37,595000,2025-02-28,HP9 2YY,T,N,F,nan,70,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/31C68071-C5DD-FEE3-E063-4804A8C04F37/current,./data-land_registry/HP9-march2020-to-nov2025.csv,70 farmers way nan hp9 2yy,70 FARMERS WAY HP9 2YY,70 farmers way seer green hp9 2yy,81.35593220338984,d6cd007db4801d8a09e6f2878b167085ca47720da48c4c8ae73a3fafece6cc71,70 Farmers Way,Seer Green,,HP9 2YY,10004767907.0,C,B,70.0,84.0,House,Semi-Detached,2023-07-18,E06000060,E14000631,,2023-07-20,marketed sale,66.0,82.0,210.0,105.0,3.1,37.0,1.6,131.0,131.0,1128.0,1023.0,362.0,213.0,83.0,Single,Y,,,,,100.0,double glazing installed during or after 2002,Normal,0.0,5.0,5.0,100.0,0.0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Average,Average,,,,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.4,0.0,N,natural,"70 Farmers Way, Seer Green",Buckinghamshire,Chesham and Amersham,BEACONSFIELD,England and Wales: 1950-1966,2023-07-20 07:23:34,Owner-occupied,12.0,,100080505427.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,70 farmers way seer green hp9 2yy,both
23768,C6209F5E-EA42-295E-E053-6C04A8C0DDCC,435000,2021-04-16,HP9 2YY,T,N,F,nan,72,FARMERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/C6209F5E-EA42-295E-E053-6C04A8C0DDCC/current,./data-land_registry/HP9-march2020-to-nov2025.csv,72 farmers way nan hp9 2yy,72 FARMERS WAY HP9 2YY,72 farmers way seer green hp9 2yy,81.35593220338984,1edbecfd5caed653b6115db28e0de2d85d0d5482a2b7b4a51d23862ec80cfbe0,72 FARMERS WAY,SEER GREEN,,HP9 2YY,10000458413.0,E,B,53.0,88.0,House,Mid-Terrace,2020-12-18,E06000060,E14000631,,2020-12-18,marketed sale,48.0,73.0,345.0,166.0,5.0,58.0,2.4,107.0,77.0,1003.0,500.0,276.0,121.0,86.0,standard tariff,N,,,,,100.0,"double glazing, unknown install date",Normal,0.0,6.0,4.0,38.0,0.0,"Electric immersion, off-peak",Poor,Poor,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,Portable electric heaters (assumed),,,"Pitched, 100 mm loft insulation",Average,Average,"Room heaters, electric",Very Poor,Poor,Appliance thermostats,Good,Good,Low energy lighting in 38% of fixed outlets,Average,Average,electricity (not community),0.0,,,2.4,0.0,N,natural,"72 FARMERS WAY, SEER GREEN",Buckinghamshire,Chesham and Amersham,SEER GREEN,England and Wales: 1976-1982,2020-12-18 00:00:00,Owner-occupied,8.0,3.0,100080505428.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,72 farmers way seer green hp9 2yy,both
23769,CD5A9DCB-8E97-310A-E053-6C04A8C00A1F,650000,2021-05-27,HP9 2YZ,D,N,F,nan,2,BARRARDS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/CD5A9DCB-8E97-310A-E053-6C04A8C00A1F/current,./data-land_registry/HP9-march2020-to-nov2025.csv,2 barrards way nan hp9 2yz,2 BARRARDS WAY HP9 2YZ,2 barrards way seer green hp9 2yz,81.35593220338984,831706fefacbb25564768256f5ae62abf954116064629422b7aa5811fca4701f,2 BARRARDS WAY,SEER GREEN,,HP9 2YZ,10000293577.0,E,C,40.0,75.0,House,Detached,2021-02-19,E06000060,E14000631,,2021-02-19,marketed sale,39.0,52.0,391.0,280.0,7.7,66.0,5.5,115.0,94.0,1849.0,1100.0,241.0,135.0,117.0,standard tariff,N,,,,,100.0,"double glazing, unknown install date",Normal,1.0,6.0,6.0,57.0,0.0,"Electric immersion, off-peak",Poor,Poor,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,,,,"Pitched, 150 mm loft insulation",Good,Good,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 57% of fixed outlets,Good,Good,electricity (not community),0.0,,,2.37,0.0,N,natural,"2 BARRARDS WAY, SEER GREEN",Buckinghamshire,Chesham and Amersham,SEER GREEN,England and Wales: 1967-1975,2021-02-19 00:00:00,Owner-occupied,23.0,13.0,100080505199.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,2 barrards way seer green hp9 2yz,both
